"rank","artist","title","releaseYear","listHighestRank","listType","x","y"
392,"Eric Clapton","Wonderful Tonight",1988,3,"top40",1223.39,328.99
393,"Abel","Onderweg",2000,1,"top40",1517.52,292.41
394,"Foreigner","I Want To Know What Love Is",1984,6,"top40",1111.97,235.09
395,"Supertramp","The Logical Song",1979,20,"top40",979.28,292.27
396,"Paul de Leeuw","Ik Heb Je Lief",1997,0,"",1442.53,167.32
397,"Fleetwood Mac","Tusk",1979,9,"top40",959.28,250.93
398,"The Script","The Man Who Can't Be Moved",2008,19,"top40",1701.65,212.38
399,"Bee Gees","Staying Alive",1978,1,"top40",977.76,259.92
400,"Boudewijn de Groot","Welterusten Meneer De President",1966,0,"",632.57,285.91
401,"Lynyrd Skynyrd","Sweet Home Alabama",1974,0,"",858.49,381.95
402,"Rowwen Hèze","De Peel In Brand",2005,34,"top40",1619.73,189.19
403,"Pink Floyd","The Great Gig In The Sky",1973,0,"",844.99,90.14
404,"Prince","1999",1982,13,"top40",1057.33,105.28
405,"André Hazes","De Vlieger",1977,24,"top40",922.48,123.13
406,"Phil Collins","Another Day In Paradise",1989,2,"top40",1235.17,209.65
407,"Amy Winehouse","Rehab",2007,17,"top40",1678.19,311.66
408,"Acda En De Munnik","Ren Lenny Ren",2002,17,"top40",1542.88,222.75
409,"Bon Jovi","Living On A Prayer",1986,2,"top40",1180.76,253.72
410,"The Beatles","Penny Lane",1967,1,"top40",673.66,343.92
411,"Muse","Bliss",2002,40,"top40",1552.36,181.35
412,"Yes","Owner Of A Lonely Heart",1983,2,"top40",1084.92,105.05
413,"De Dijk","Mag Het Licht Uit",1987,23,"top40",1193.31,248.99
414,"Kensington","Home Again",2013,33,"top40",1818.82,154.31
415,"Bruce Springsteen","Badlands",1978,0,"",964.43,149.47
416,"Pink Floyd","Money",1973,0,"",830.05,236.95
417,"Bob Dylan","Blowing In The Wind",1963,0,"",585.51,264.85
418,"Elton John","Your Song",1971,10,"top40",802.15,381.43
419,"The Beatles","Eleanor Rigby",1966,1,"top40",638.51,168.53
420,"Toto","Hold The Line",1979,25,"top40",988.09,276.18
421,"New Order","Blue Monday",1983,3,"top40",1081.04,345.57
422,"The Police","Message In A Bottle",1979,2,"top40",991.93,403.62
423,"Muse","Starlight",2006,12,"tip",1661.39,249.23
424,"Jim Croce","Time In A Bottle",1973,0,"",849.26,130.62
425,"Soundgarden","Black Hole Sun",1994,31,"top40",1357.67,317.8
426,"André Hazes","Geef Mij Je Angst",1983,35,"top40",1087.74,210.24
427,"The Black Keys","Little Black Submarines",2012,9,"tip",1801.27,150.92
428,"The Jimi Hendrix Experience","Hey Joe",1967,11,"top40",672.02,265.35
429,"Foo Fighters","Learn To Fly",1999,32,"top40",1481.3,323.14
430,"Red Hot Chili Peppers","Scar Tissue",1999,24,"top40",1482.31,184.84
431,"K's Choice","Not An Addict",1996,19,"top40",1401.45,191.3
432,"Imagine Dragons","Radioactive",2012,5,"tip",1803.81,277.95
433,"Beth Hart","Leave The Light On",2003,0,"",1573.17,332.76
434,"Elvis Costello","I Want You",1986,15,"top40",1173.9,377.04
435,"Johnny Cash","I Walk The Line",1957,0,"",444.25,251.86
436,"The Proclaimers","I'm Gonna Be (500 Miles)",1988,17,"tip",1216.85,144.26
437,"Diggy Dex Ft. JW Roy","Treur Niet",2015,10,"top40",1904.94,274.68
438,"Beyoncé","Halo",2010,9,"top40",1753.82,154.52
439,"Nena","99 Luftballons",1983,1,"top40",1079.24,198.95
440,"Al Stewart","Year Of The Cat",1977,6,"top40",925.64,298.45
441,"Anouk","Lost",2005,2,"top40",1632.5,309.77
442,"Kensington","All For Nothing",2014,35,"top40",1864.2,282.93
443,"The Alan Parsons Project","Eye In The Sky",1982,0,"",1052.64,268.88
444,"Eva Cassidy","Fields Of Gold",1998,0,"",1467.27,324.27
445,"Scorpions","Still Loving You",1987,4,"top40",1197.98,310.03
446,"Billy Joel","Leningrad",1989,15,"top40",1248,190.73
447,"Stevie Wonder","Superstition",1973,12,"top40",843.65,314.11
448,"Gerry Rafferty","Baker Street",1978,9,"top40",972.68,138.22
449,"Simply Red","Holding Back The Years",1985,3,"top40",1129.93,238.78
450,"Underworld","Born Slippy",1996,28,"top40",1407.81,339.16
451,"De Dijk","Groot Hart",1985,12,"tip",1134.47,279.22
452,"Frankie Goes To Hollywood","The Power Of Love",1984,9,"top40",1100.71,394.66
453,"Whitney Houston","I Will Always Love You",1992,1,"top40",1306.13,294.99
454,"Buena Vista Social Club","Chan Chan",1997,6,"tip",1419.56,235.9
455,"Sia","Chandelier",2013,38,"top40",1838.87,297.31
456,"Crosby, Stills, Nash & Young","Almost Cut My Hair",1971,5,"tip",777.2,114.43
457,"Guns N' Roses","Welcome To The Jungle",1989,0,"",1232.82,351.16
458,"Typhoon","Zandloper",2014,0,"",1871.05,271.08
459,"Santana","She's Not There",1978,2,"top40",974.07,273.06
460,"Orchestral Manoeuvres In The Dark","Maid Of Orleans",1982,1,"top40",1043.15,220.93
461,"Daniel Lohues","Prachtig Mooie Dag",2011,0,"",1777.53,273.6
462,"David Bowie","Ziggy Stardust",1972,0,"",819.82,219.15
463,"Focus","Hocus Pocus",1971,10,"top40",769.99,315.03
464,"Marvin Gaye","What's Going On",1971,0,"",789.67,89.64
465,"Alanis Morissette","Ironic",1995,6,"top40",1398.64,329.17
466,"Toto","Stop Loving You",1988,2,"top40",1206.81,181.69
467,"Armin van Buuren Ft. Kensington","Heading Up High",2015,12,"top40",1879.39,195.15
468,"Paolo Conte","Max",1988,6,"top40",1211.02,270.62
469,"Bløf","Omarm",2003,8,"top40",1571.44,282.95
470,"Anouk","Birds",2013,3,"top40",1817.97,343.57
471,"Muse","Supermassive Black Hole",2006,2,"tip",1665.91,318.09
472,"David Bowie","Sound And Vision",1977,2,"top40",935.77,324.33
473,"Bløf","Dansen Aan Zee",2000,9,"top40",1515.51,318.93
474,"The Temptations","Papa Was A Rolling Stone",1972,5,"top40",810.45,190.35
475,"Triggerfinger","I Follow Rivers",2012,1,"top40",1790.88,273.64
476,"Queen","We Will Rock You",1977,12,"top40",920.32,175.98
477,"Marco Borsato","Mooi",2015,14,"top40",1891.71,289.29
478,"Krezip","I Would Stay",2000,1,"top40",1504.17,284.97
479,"Fleetwood Mac","Songbird",1977,0,"",928.7,338.69
480,"The Boxer Rebellion","Diamonds",2013,30,"top40",1839.09,272.83
481,"Racoon","Liverpool Rain",2012,36,"top40",1793.77,287.07
482,"Vangelis","Conquest Of Paradise",1995,1,"top40",1396.17,209.91
483,"Daniel Lohues","Hier Kom Ik Weg",2008,0,"",1684.65,299.5
484,"Genesis","Firth Of Fifth",1973,0,"",824.79,332.07
485,"Counting Crows","Mr. Jones",1994,14,"tip",1366.11,196.35
486,"Acda En De Munnik","Niet Of Nooit Geweest",1998,2,"top40",1461.8,200.08
487,"John Denver","Leaving On A Jet Plane",1969,0,"",733.56,174.66
488,"Stromae","Papaoutai",2013,2,"top40",1830.74,206.01
489,"Queen","Radio Ga Ga",1984,1,"top40",1124.3,358.69
490,"Van Halen","Running With The Devil",1980,8,"top40",1011.22,179.53
491,"David Bowie & Pat Metheny Group","This Is Not America",1985,1,"top40",1140.31,313.58
492,"Guus Meeuwis","Dat Komt Door Jou",2009,11,"top40",1735.07,186.78
493,"Johnny Cash","A Boy Named Sue",1969,14,"top40",735.1,401.28
494,"Avicii","Wake Me Up",2013,1,"top40",1846.87,283.37
495,"Cockney Rebel","Sebastian",1973,2,"top40",856,226.43
496,"Bee Gees","How Deep Is Your Love",1977,15,"top40",961.47,272.48
497,"Ed Sheeran","Photograph",2015,33,"top40",1904.23,309.59
498,"Crosby, Stills, Nash & Young","Teach Your Children",1970,7,"top40",740.28,225.28
499,"AC/DC","You Shook Me All Night Long",1980,0,"",1017.37,301.09
500,"Don Henley","The Boys Of Summer",1985,26,"top40",1132.09,263.92
501,"Eddie Vedder","Hard Sun",2007,0,"",1672.47,329.55
502,"Tenacious D","Tribute",2003,25,"top40",1575.18,210.77
503,"R.E.M.","Nightswimming",1992,0,"",1337.48,182.09
504,"ZZ Top","La Grange",1973,0,"",833.33,141.98
505,"Iggy Pop","Lust For Life",1977,3,"top40",937.35,304.8
506,"Racoon","No Mercy",2011,3,"top40",1757.76,213.88
507,"Uriah Heep","Easy Livin'",1973,5,"top40",845.79,218.95
508,"The Rolling Stones","Wild Horses",1971,4,"tip",801.11,275.74
509,"John Mayer","Gravity",2006,13,"tip",1663.52,282.04
510,"John Denver","Annie's Song",1976,10,"top40",918.28,345.58
511,"ZZ Top","Gimme All Your Lovin'",1984,8,"top40",1121.39,281.36
512,"Justin Bieber","Love Yourself",2015,1,"top40",1892.08,314.3
513,"Blur","Song 2",1997,12,"tip",1448.41,311.71
514,"Henk Westbroek","Zelfs Je Naam Is Mooi",1998,6,"top40",1465.87,212.46
515,"Green Day","Wake Me Up When September Ends",2005,35,"top40",1622.73,210.86
516,"Kings Of Leon","Use Somebody",2008,7,"top40",1705.1,300.16
517,"Bruce Springsteen","My Hometown",1986,23,"top40",1157.86,268.39
518,"Disturbed","The Sound Of Silence",2016,0,"",1922.79,217.29
519,"Herbert Grönemeyer","Der Weg",2002,0,"",1547.61,243.08
520,"Fleetwood Mac","The Chain",1977,0,"",951.88,207.11
521,"The Babys","Everytime I Think Of You",1979,7,"top40",1001.23,117.55
522,"Coldplay Feat. Beyoncé","Hymn For The Weekend",2015,11,"top40",1879.99,318.63
523,"David Bowie & Mick Jagger","Dancing In The Street",1985,1,"top40",1138.77,294.71
524,"Queen","Another One Bites The Dust",1980,14,"top40",1013.78,115.26
525,"Louis Armstrong","What A Wonderful World",1968,2,"top40",704.41,197.11
526,"Talking Heads","Psycho Killer",1978,11,"top40",935.43,216.67
527,"Marco Borsato","Rood",2006,1,"top40",1644.92,226.63
528,"Air","All I Need",1999,25,"top40",1480.06,288.82
529,"Caro Emerald","A Night Like This",2009,2,"top40",1715.02,209.86
530,"Wham","Last Christmas",1984,2,"top40",1116.6,269.8
531,"Mumford & Sons","I Will Wait",2012,0,"",1793.16,161.55
532,"Bruce Springsteen","Tougher Than The Rest",1987,13,"top40",1199.37,222.03
533,"Ram Jam","Black Betty",1978,4,"top40",952.31,289.02
534,"U2","New Years Day",1983,11,"top40",1072.77,335.91
535,"Imagine Dragons","Demons",2014,11,"top40",1864.03,191.52
536,"Bon Jovi","It's My Life",2000,1,"top40",1524.11,184.8
537,"De Poema's","Zij Maakt Het Verschil",2001,1,"top40",1539.68,252.87
538,"Herman van Veen","Liefde Van Later",1969,0,"",707.45,323.35
539,"Eagles","Lyin' Eyes",1975,19,"top40",888.83,313.6
540,"David Bowie","Changes",1971,0,"",802.07,248.8
541,"John Denver","Take Me Home, Country Roads",1971,6,"tip",772.81,215.45
542,"Elvis Presley","Always On My Mind",1972,15,"top40",805.74,226.01
543,"Queen","We Are The Champions",1977,2,"top40",960.31,353.65
544,"Crosby, Stills, Nash & Young","Our House",1970,10,"top40",758.35,363.97
545,"Cream","White Room",1968,4,"top40",687.85,148.98
546,"Neil Diamond","I Am... I Said",1971,6,"top40",771.84,332.81
547,"ABBA","Mamma Mia",1975,13,"top40",876.15,119.56
548,"Beastie Boys","Sabotage",1994,2,"tip",1379.33,158.36
549,"Gé Reinders","Bloasmuziek",1999,0,"",1475.68,300.58
550,"Chicago","If You Leave Me Now",1976,1,"top40",908.77,307.33
551,"Barry White","You're The First The Last My Everything",1974,10,"top40",860.58,244.35
552,"Genesis","Land Of Confusion",1986,8,"top40",1166.09,305.62
553,"Joe Jackson","Is She Really Going Out With Him",1979,3,"top40",999.02,282.35
554,"Red Hot Chili Peppers","Otherside",2003,14,"top40",1580.81,274.05
555,"Eagles","New Kid In Town",1977,9,"top40",949.84,308.67
556,"Johnny Cash","Folsom Prison Blues (live In Folsom Prison)",1969,0,"",732.82,104.64
557,"Cat Stevens","Father And Son",1971,28,"top40",776.22,179
558,"R.E.M.","Man On The Moon",1992,4,"tip",1324.32,310.59
559,"Joe Cocker","You Are So Beautiful",1975,7,"tip",900.41,289.63
560,"Bruce Springsteen","Jungleland",1975,0,"",871.99,372.18
561,"Status Quo","Roll Over Lay Down",1975,2,"top40",871.57,384.51
562,"P!nk & Nate Ruess","Just Give Me A Reason",2012,1,"top40",1799.72,298.37
563,"John Mayer","Daughters",2005,30,"top40",1628.11,178.74
564,"Chris Rea","Driving Home For Christmas",1986,0,"",1177.14,166.77
565,"De Dijk","Ik Kan Het Niet Alleen",1989,18,"top40",1233.48,338.1
566,"Guns N' Roses","Estranged",1994,0,"",1357.88,224.7
567,"Live","Overcome",2001,2,"top40",1536.42,289.98
568,"Europe","The Final Countdown",1986,1,"top40",1173.61,137.85
569,"Neil Diamond","Sweet Caroline",1969,17,"top40",725.07,393.45
570,"Fleetwood Mac","Rhiannon",1976,16,"top40",916.25,227.09
571,"Tame Impala","Let It Happen",2015,0,"",1904.8,188.02
572,"Talk Talk","Such A Shame",1984,11,"top40",1100.64,354.55
573,"De Dijk","Bloedend Hart",1982,19,"top40",1053.53,199.77
574,"Herman van Veen","Suzanne",1969,4,"top40",742.58,166.05
575,"Simon & Garfunkel","Mrs. Robinson",1968,8,"top40",696.85,187.48
576,"David Bowie","Golden Years",1976,6,"top40",903.02,234.05
577,"Coldplay","Adventure Of A Lifetime",2015,8,"top40",1885.67,278.08
578,"Kate Bush","Cloudbusting",1985,11,"top40",1136.67,366.85
579,"Alice In Chains","Would",1992,31,"top40",1311.53,257.45
580,"The Stranglers","Golden Brown",1982,8,"top40",1064.93,264.59
581,"Fleetwood Mac","Albatross",1969,2,"top40",709.39,209.74
582,"2Pac","Changes",1998,1,"top40",1470.83,191.1
583,"Rag'n'Bone Man ","Human",2016,9,"top40",1924.46,279.74
584,"Michael Jackson","They Don't Care About Us",1996,4,"top40",1410.84,295.83
585,"Prince","Raspberry Beret",1985,19,"top40",1153.88,174.62
586,"David Bowie","Absolute Beginners",1986,4,"top40",1167.69,345.49
587,"Het Goede Doel","Alles Geprobeerd",1986,25,"top40",1168.34,248.95
588,"Chris Isaak","Wicked Game",1991,5,"top40",1301.11,157.26
589,"The Who","Pinball Wizard",1969,12,"top40",755.07,210.81
590,"Fischer-Z","So Long",1980,12,"top40",1020.44,216.7
591,"Kate Bush","Running Up That Hill",1985,6,"top40",1164.76,162.84
592,"Golden Earring","Going To The Run",1991,3,"top40",1269.29,347.37
593,"De Poema's","Mijn Houten Hart",1999,7,"top40",1492.39,289.62
594,"Anouk","Michel",2000,3,"top40",1497.21,169.88
595,"Earth Wind & Fire feat. The Emotions","Boogie Wonderland",1979,4,"top40",989.2,120.11
596,"Metallica","Sad But True",1992,17,"top40",1326.88,175.62
597,"The Smiths","There Is A Light That Never Goes Out",1986,0,"",1161.03,372.78
598,"The Beatles","The Long And Winding Road",1970,9,"top40",750.3,133.11
599,"John Mayer","Slowdancing In A Burning Room",2006,0,"",1658.96,213.54
600,"P!nk","Try",2012,23,"top40",1791.21,225.24
601,"Foo Fighters","Walk",2009,31,"top40",1717.65,252.15
602,"Adele","Chasing Pavements",2008,9,"top40",1696.57,280.92
603,"The Beatles","Norwegian Wood (This Bird Has Flown)",1965,0,"",620.95,317.24
604,"Heart","Alone",1987,6,"top40",1197.65,297.19
605,"Doe Maar","Sinds 1 Dag Of 2 (32 Jaar)",1981,0,"",1040.31,268.87
606,"U2","I Will Follow",1982,12,"top40",1048.56,289.69
607,"Paul Simon","You Can Call Me Al",1986,2,"top40",1163.36,384.61
608,"Massive Attack","Teardrop",1998,9,"tip",1447.5,221.7
609,"The Alan Parsons Project","The Turn Of A Friendly Card",1980,11,"tip",1024.39,395.34
610,"George Baker Selection","Little Green Bag",1969,9,"top40",736.75,143.27
611,"Don McLean","Vincent",1972,17,"top40",809.55,370.79
612,"Tina Turner & David Bowie","Tonight",1988,1,"top40",1213.25,167.77
613,"ZZ Top","Sharp Dressed Man",1985,9,"top40",1143.9,225.41
614,"George Michael","Careless Whisper",1984,1,"top40",1112.86,353.66
615,"Dj Paul Elstak","Rainbow In The Sky",1995,3,"top40",1389.4,337.95
616,"David Bowie","Man Who Sold The World",1970,0,"",759.25,340.9
617,"Mark Knopfler","What It Is",2000,0,"",1505.08,342.04
618,"Boudewijn de Groot","Jimmy",1973,6,"top40",852.58,252.2
619,"Eminem & Dido","Stan",2000,2,"top40",1516.98,213.73
620,"The Cure","Lullaby",1989,9,"top40",1235.69,194.23
621,"Ed Sheeran","The A Team",2011,5,"top40",1768.57,196.14
622,"Édith Piaf","Non Je Ne Regrette Rien",1961,0,"",546.53,230.7
623,"Acda En De Munnik","Als Het Vuur Gedoofd Is",1997,0,"",1422.06,248.22
624,"Art Garfunkel","Bright Eyes",1979,1,"top40",1000.2,174.03
625,"Alain Clark","Father And Friend",2008,2,"top40",1706.47,247.68
626,"Red Hot Chili Peppers","Give It Away",1992,4,"tip",1317.06,288.63
627,"Chi Coltrane","Go Like Elijah",1973,1,"top40",831.86,269.69
628,"Don McLean","American Pie",1972,11,"top40",812.09,259.23
629,"Guns N' Roses","Patience",1989,4,"top40",1222.8,343.43
630,"Barbra Streisand","Woman In Love",1980,1,"top40",1019.4,384.62
631,"Golden Earrings","Just A Little Bit Of Peace In My Heart",1968,2,"top40",687.19,324.17
632,"Dotan","Let The River In",2015,31,"top40",1901.33,216.53
633,"The Blue Nile","Tinseltown In The Rain",1984,28,"top40",1104.11,382.51
634,"BAP","Kristallnach",1983,8,"top40",1077.7,178.02
635,"Jimi Hendrix Experience","Little Wing",1969,0,"",733.24,315.56
636,"Van Halen","Jump",1984,29,"top40",1127.88,395.9
637,"Lou Reed","Walk On The Wild Side",1973,21,"top40",847.02,117.75
638,"Michael Jackson","Ben",1972,2,"top40",822.62,173.98
639,"Queen","Crazy Little Thing Called Love",1979,1,"top40",997.54,365.72
640,"Prince","I Would Die 4 U",1984,3,"top40",1114.11,370.16
641,"Manic Street Preachers","Motorcycle Emptiness",1992,24,"top40",1333.35,252.24
642,"Men At Work","Down Under",1982,2,"top40",1060.43,161.11
643,"Iggy Pop","The Passenger",1976,0,"",896.9,371
644,"Mr. Probz","Waves",2013,6,"top40",1820.11,212.23
645,"Whitesnake","Here I Go Again",1987,5,"top40",1184.04,359.91
646,"Mark Ronson Feat. Amy Winehouse","Valerie",2007,1,"top40",1670.51,240.17
647,"Bonnie Tyler","Total Eclipse Of The Heart",1983,24,"top40",1092.41,242.26
648,"Arctic Monkeys","I Bet You Look Good On The Dancefloor",2006,0,"",1647.15,214.68
649,"Simple Minds","Alive & Kicking",1985,2,"top40",1119.51,224.21
650,"Coldplay","Trouble",2002,38,"top40",1538.35,186.97
651,"Green Day","American Idiot",2004,4,"tip",1596.2,262.32
652,"Creedence Clearwater Revival","Who'll Stop The Rain",1970,1,"top40",753.54,169.71
653,"Nazareth","Love Hurts",1974,1,"top40",850.88,326.85
654,"Genesis","Follow You Follow Me",1978,17,"top40",951.98,150.3
655,"Shocking Blue","Venus",1969,3,"top40",706.98,182.08
656,"Rod Stewart","Sailing",1975,1,"top40",888.34,288.82
657,"Fleetwood Mac","Need Your Love So Bad",1968,7,"top40",709.29,138
658,"Het Goede Doel","Belgie",1982,4,"top40",1056.1,187.96
659,"Elbow","Lippy Kids",2011,29,"top40",1788.85,213.04
660,"Frank Sinatra","Fly Me To The Moon",1964,0,"",603.61,228.96
661,"Madness","Our House",1982,13,"tip",1059.54,238.86
662,"The Bangles","Eternal Flame",1989,1,"top40",1224.86,254.54
663,"Ennio Morricone","Once Upon A Time In The West",1968,0,"",717.11,146.25
664,"Liquido","Narcotic",1998,4,"top40",1457.11,331.78
665,"London Grammar","Strong",2014,27,"top40",1858.46,202.11
666,"Bob Dylan","The Times Are A-Changing",1964,0,"",597.21,273.48
667,"Status Quo","Whatever You Want",1979,5,"top40",1010.89,199.45
668,"Novastar","Wrong",1999,4,"tip",1481.22,273.98
669,"Amy Winehouse","You Know I'm No Good",2007,2,"tip",1674.74,250.82
670,"Elvis Presley","Can't Help Falling In Love With You",1961,0,"",551.17,241.42
671,"Bløf","Mooie Dag",2002,17,"top40",1560.35,233.81
672,"Bruce Springsteen","Waiting On A Sunny Day",2003,9,"tip",1583.94,285.31
673,"Kane","Rain Down On Me",2002,14,"top40",1558.2,166.57
674,"Carole King","You've Got A Friend",1971,0,"",789.06,273.97
675,"Ilse DeLange","I Still Cry",2000,0,"",1506.26,310.73
676,"Supertramp","Dreamer",1974,36,"top40",873.89,198.57
677,"Fleetwood Mac","Landslide",1975,0,"",886.5,221.6
678,"Phil Collins","You'll Be In My Heart",1999,37,"top40",1475.26,219.64
679,"Typhoon","Hemel Valt",2015,0,"",1886.06,303.81
680,"Mike Oldfield","Tubular Bells",1974,13,"tip",863.38,310.93
681,"Pink Floyd","High Hopes",1994,0,"",1380.12,181.67
682,"Gary Jules","Mad World",2002,5,"top40",1562.58,291.57
683,"The Doors","People Are Strange",1967,0,"",658.19,190.29
684,"UB40","Red Red Wine",1983,1,"top40",1079.53,137.95
685,"Eurythmics","Sweet Dreams",1983,9,"top40",1077.56,307.32
686,"First Aid Kit","My Silver Lining",2014,33,"top40",1873.31,291.51
687,"Adele","Hometown Glory",2009,25,"top40",1723.53,190.65
688,"The Kinks","Lola",1970,1,"top40",750.51,372.59
689,"Spandau Ballet","Through The Barricades",1986,3,"top40",1181.75,180.98
690,"Racoon","Shoes Of Lightning",2013,13,"top40",1822.41,247
691,"Gorillaz","Clint Eastwood",2001,27,"top40",1533.91,231.78
692,"Paul de Leeuw & Simone Kleinsma","Zonder Jou",1995,3,"top40",1391.06,184.39
693,"Herman Brood","Never Be Clever",1979,9,"top40",1010.7,283.51
694,"Ten Sharp","You",1991,3,"top40",1289.17,264.57
695,"The Police","So Lonely",1979,31,"top40",994.96,334.05
696,"The Beatles","Come Together",1967,4,"top40",672.33,192.48
697,"Jethro Tull","Locomotive Breath",1972,6,"tip",824,261.52
698,"Talking Heads","Slippery People",1985,7,"top40",1152.52,279.02
699,"The Killers","Human",2008,2,"top40",1692.58,202.34
700,"Joe Jackson","Real Men",1982,15,"top40",1063.68,327.79
701,"INXS","Never Tear Us Apart",1988,7,"top40",1219.86,297.82
702,"Prince","Let's Go Crazy",1985,18,"top40",1146.8,100.83
703,"Blue Oyster Cult","Don't Fear The Reaper",1976,0,"",916.54,156.33
704,"Simple Minds","Waterfront",1984,2,"tip",1123.85,136.04
705,"U2","Ordinary Love",2013,7,"top40",1813.62,165.9
706,"Armand","Ben Ik Te Min",1967,5,"top40",677.75,363.76
707,"Blondie","Denis",1978,1,"top40",957.67,238.58
708,"Alice Cooper","How You Gonna See Me Now",1979,7,"top40",1004.56,209.73
709,"Creedence Clearwater Revival","Suzie Q",1968,0,"",720.42,238.78
710,"Joe Jackson","Be My Number Two",1984,0,"",1104.82,161.54
711,"Elvis Presley","My Boy",1975,9,"top40",892.82,118.26
712,"Robbie Williams","Let Me Entertain You",1998,2,"tip",1457.07,297.85
713,"Ike & Tina Turner","River Deep Mountain High",1966,9,"top40",636.99,184.31
714,"Thin Lizzy","Whiskey In The Jar",1973,20,"top40",810.04,177.85
715,"Jimi Hendrix Experience","Voodoo Chile",1968,4,"top40",701.82,276.52
716,"Venice","The Family Tree",1999,0,"",1475.56,233.68
717,"Bee Gees","Words",1968,1,"top40",700.63,313.93
718,"U2","All I Want Is You",1989,12,"top40",1227.21,151.27
719,"Marco Borsato","Afscheid Nemen Bestaat Niet",2003,1,"top40",1568.77,319.79
720,"Carpenters","Top Of The World",1973,14,"top40",834.44,219.54
721,"Prince","Kiss",1986,2,"top40",1174.92,152.47
722,"Red Hot Chili Peppers","Dani California",2006,8,"top40",1655.85,231.19
723,"Nits","In The Dutch Mountains",1987,14,"top40",1187.47,219.75
724,"Andrea Bocelli","Con Te Partiro",1996,20,"top40",1416.41,269.65
725,"3 Doors Down","Here Without You",2004,6,"top40",1588.32,198.22
726,"Crowded House","Don't Dream It's Over",1987,5,"top40",1194.45,364.15
727,"The Who","See Me Feel Me",1970,3,"top40",752.87,353.78
728,"Paul McCartney & Wings","Band On The Run",1974,4,"top40",856.36,170.32
729,"The Rolling Stones","Brown Sugar",1971,1,"top40",775.7,305.22
730,"Sting","Russians",1985,7,"top40",1146,214.54
731,"Michael Jackson","Black Or White",1991,3,"top40",1265.2,182.36
732,"Live","I Alone",1995,22,"top40",1377.82,196.68
733,"Queen","A Kind Of Magic",1986,4,"top40",1172.63,199.11
734,"Coldplay","Magic",2014,2,"top40",1848.53,323.03
735,"Hero","Toen Ik Je Zag",1997,1,"top40",1427.5,284.87
736,"ABBA","Chiquitita",1979,1,"top40",983.63,394.24
737,"Frank Boeijen Groep","De Verzoening",1987,32,"top40",1183.55,117.43
738,"Meat Loaf","I'd Do Anything For Love",1993,1,"top40",1349.56,338.62
739,"Rowwen Hèze","Limburg",1996,27,"top40",1407.51,233.51
740,"Nina Simone","Ain't Got No, I Got Life",1968,9,"top40",713.47,255.88
741,"The Cats","One Way Wind",1971,3,"top40",786.25,300.57
742,"ABBA","Waterloo",1974,2,"top40",894.03,272.41
743,"Paul Weller","You Do Something To Me",1995,29,"top40",1385.57,241.87
744,"Youp van 't Hek","Flappie",1981,0,"",1041.24,136.9
745,"Clouseau","Daar Gaat Ze",1990,2,"top40",1238.8,296.89
746,"Aretha Franklin","You Make Me Feel Like A Natural Woman",1967,28,"top40",671.17,178.17
747,"Manic Street Preachers","If You Tolerate This Your Children Will Be Next",1998,7,"tip",1467.18,336.58
748,"Oasis","Champagne Supernova",1995,0,"",1385.95,203.97
749,"Pink Floyd","Us And Them",1973,0,"",856.04,181.45
750,"Bløf","Blauwe Ruis",2002,36,"top40",1563.28,197.82
751,"Avicii","Hey Brother",2013,1,"top40",1826.5,179.74
752,"Temple Of The Dog","Hunger Strike",1991,0,"",1303.69,329.24
753,"Chris De Burgh","The Lady In Red",1986,6,"top40",1151.88,290.41
754,"Steppenwolf","Born To Be Wild",1968,4,"top40",690.58,177.8
755,"Neet Oet Lottum","Hald Mich 's Vas",2005,0,"",1618.66,306.96
756,"Carly Simon","You're So Vain",1973,9,"top40",857.85,204.64
757,"Kraftwerk","Autobahn",1975,12,"top40",867.97,360.09
758,"Keane","Bedshaped",2004,26,"top40",1599.78,316.97
759,"ABBA","Does Your Mother Know",1979,4,"top40",1001.09,184.92
760,"Elvis Presley","Jailhouse Rock",1957,5,"top40",444.13,264.19
761,"Eros Ramazzotti","Musica E",1989,12,"top40",1231.31,230.02
762,"Herman van Veen","Anne",1986,35,"top40",1158.69,230.07
763,"Dire Straits","Tunnel Of Love",1980,4,"tip",1005.81,106.64
764,"Gorillaz","Feel Good Inc",2005,20,"tip",1633.11,294.57
765,"Fleetwood Mac","Don't Stop",1977,5,"top40",970.25,283.88
766,"Ben Howard","Keep Your Head Up",2011,12,"top40",1788.17,353.12
767,"Karin Bloemen","Geen Kind Meer",1996,0,"",1400.44,178.96
768,"Lana Del Rey","Video Games",2011,11,"top40",1773.45,224.27
769,"De Kast","In Nije Dei",1997,2,"top40",1422.31,259.28
770,"Green Day","Good Riddance (Time Of Your Life)",1997,0,"",1422.7,223.86
771,"Bruce Springsteen","Glory Days",1985,17,"top40",1135.54,355.48
772,"Linkin Park & Jay Z","Numb/Encore",2004,5,"top40",1598.4,194.56
773,"Matt Simons","Catch & Release",2014,6,"top40",1869.45,201.8
774,"Guus Meeuwis & Vagant","Het Is Een Nacht",1995,1,"top40",1397.58,345.73
775,"Bon Jovi","Always",1994,2,"top40",1376.1,347.49
776,"Katie Melua","Nine Million Bicycles",2005,2,"top40",1628.62,239.99
777,"The Cats","Lea",1968,1,"top40",711.6,280.43
778,"David Bowie","Lazarus",2015,32,"top40",1894.12,197.8
779,"Toto","Rosanna",1982,3,"top40",1065.79,306.88
